NAICS CODE,NAICS DESCRIPTION,DATA TYPE,TOTAL,Employment Size of the Enterprise,,,,,,,,
62141,Family planning centers,"Annual Payroll ($1,000)","502,344","2,405","18,528","25,199","40,363","86,495","163,363","187,027","436,885","65,459"
62141,Family planning centers,"Receipts ($1,000)","1,330,813","7,641","69,580","77,827","101,528","256,576","388,950","474,698","1,120,224","210,589"
621410,Family planning centers,Firms,"1,090",70,448,170,118,806,174,76,"1,056",34
621410,Family planning centers,Establishments,"1,905",70,448,170,138,826,473,513,"1,812",93
621410,Family planning centers,Employment,"18,621",0,970,"1,112","1,589","3,671","6,503","6,387","16,561","2,060"
621410,Family planning centers,"Annual Payroll ($1,000)","502,344","2,405","18,528","25,199","40,363","86,495","163,363","187,027","436,885","65,459"
621410,Family planning centers,"Receipts ($1,000)","1,330,813","7,641","69,580","77,827","101,528","256,576","388,950","474,698","1,120,224","210,589"
62142,Outpatient mental health & substance abuse centers,Firms,"3,919",326,"1,253",437,382,"2,398",686,622,"3,706",213
62142,Outpatient mental health & substance abuse centers,Establishments,"7,216",328,"1,256",443,436,"2,463","1,251","2,332","6,046","1,170"
62142,Outpatient mental health & substance abuse centers,Employment,"152,596",0,"2,462","2,911","5,222","10,595","27,567","74,867","113,029","39,567"
62142,Outpatient mental health & substance abuse centers,"Annual Payroll ($1,000)","4,232,381","13,641","63,278","77,407","138,679","293,005","745,733","2,020,730","3,059,468","1,172,913"
62142,Outpatient mental health & substance abuse centers,"Receipts ($1,000)","10,560,971","34,832","200,614","197,746","299,841","733,033","1,538,646","4,054,478","6,326,157","4,234,814"
621420,Outpatient mental health & substance abuse centers,Firms,"3,919",326,"1,253",437,382,"2,398",686,622,"3,706",213
621420,Outpatient mental health & substance abuse centers,Establishments,"7,216",328,"1,256",443,436,"2,463","1,251","2,332","6,046","1,170"
621420,Outpatient mental health & substance abuse centers,Employment,"152,596",0,"2,462","2,911","5,222","10,595","27,567","74,867","113,029","39,567"
621420,Outpatient mental health & substance abuse centers,"Annual Payroll ($1,000)","4,232,381","13,641","63,278","77,407","138,679","293,005","745,733","2,020,730","3,059,468","1,172,913"
621420,Outpatient mental health & substance abuse centers,"Receipts ($1,000)","10,560,971","34,832","200,614","197,746","299,841","733,033","1,538,646","4,054,478","6,326,157","4,234,814"
62149,Other outpatient care centers,Firms,"8,076",752,"2,033","1,251","1,202","5,238","1,551",709,"7,498",578
62149,Other outpatient care centers,Establishments,"16,203",752,"2,068","1,277","1,259","5,356","2,246","2,256","9,858","6,345"
62149,Other outpatient care centers,Employment,"422,245",0,"4,457","8,458","16,372","29,287","61,295","87,933","178,515","243,730"
62149,Other outpatient care centers,"Annual Payroll ($1,000)","17,069,456","78,086","214,827","324,158","648,983","1,266,054","2,244,823","3,025,588","6,536,465","10,532,991"
62149,Other outpatient care centers,"Receipts ($1,000)","52,561,809","402,908","817,996","1,041,172","1,872,381","4,134,457","6,319,723","8,148,691","18,602,871","33,958,938"
621491,HMO medical centers,Firms,244,42,58,25,17,142,25,25,192,52
621491,HMO medical centers,Establishments,762,42,58,25,17,142,36,76,254,508
621491,HMO medical centers,Employment,"48,389",0,120,166,237,523,965,"5,319","6,807","41,582"
621491,HMO medical centers,"Annual Payroll ($1,000)","2,018,229","2,466","13,510","6,866","11,750","34,592","35,795","204,448","274,835","1,743,394"
621491,HMO medical centers,"Receipts ($1,000)","10,837,635","8,825","86,414","19,549","62,281","177,069","262,833","1,534,423","1,974,325","8,863,310"
621492,Kidney dialysis centers,Firms,484,42,56,48,90,236,173,35,444,40
621492,Kidney dialysis centers,Establishments,"3,074",42,56,48,93,239,235,158,632,"2,442"
621492,Kidney dialysis centers,Employment,"63,757",0,112,335,"1,265","1,712","6,739","5,122","13,573","50,184"
621492,Kidney dialysis centers,"Annual Payroll ($1,000)","2,360,502","5,391","7,197","12,221","38,831","63,640","224,640","186,603","474,883","1,885,619"
621492,Kidney dialysis centers,"Receipts ($1,000)","8,743,213","19,725","25,797","35,549","153,756","234,827","740,405","638,561","1,613,793","7,129,420"
621493,Freestanding ambulatory surgical & emergency centers,Firms,"2,403",252,532,390,476,"1,650",495,80,"2,225",178
621493,Freestanding ambulatory surgical & emergency centers,Establishments,"3,038",252,533,406,481,"1,672",579,188,"2,439",599
621493,Freestanding ambulatory surgical & emergency centers,Employment,"56,521",0,"1,136","2,706","6,577","10,419","17,540","6,491","34,450","22,071"
621493,Freestanding ambulatory surgical & emergency centers,"Annual Payroll ($1,000)","2,387,114","37,506","71,483","131,275","341,811","582,075","777,193","269,338","1,628,606","758,508"
621493,Freestanding ambulatory surgical & emergency centers,"Receipts ($1,000)","7,761,851","236,860","256,882","446,254","965,037","1,905,033","2,388,483","752,971","5,046,487","2,715,364"
621498,All other outpatient care centers,Firms,"5,111",416,"1,387",788,619,"3,210",862,584,"4,656",455
621498,All other outpatient care centers,Establishments,"9,329",416,"1,421",798,668,"3,303","1,396","1,834","6,533","2,796"
621498,All other outpatient care centers,Employment,"253,578",0,"3,089","5,251","8,293","16,633","36,051","71,001","123,685","129,893"
621498,All other outpatient care centers,"Annual Payroll ($1,000)","10,303,611","32,723","122,637","173,796","256,591","585,747","1,207,195","2,365,199","4,158,141","6,145,470"
621498,All other outpatient care centers,"Receipts ($1,000)","25,219,110","137,498","448,903","539,820","691,307","1,817,528","2,928,002","5,222,736","9,968,266","15,250,844"
6215,Medical & diagnostic laboratories,Firms,"6,445",742,"2,382","1,108",867,"5,099",873,237,"6,209",236
6215,Medical & diagnostic laboratories,Establishments,"10,357",757,"2,395","1,124",943,"5,219","1,323",891,"7,433","2,924"
6215,Medical & diagnostic laboratories,Employment,"181,314",0,"5,203","7,333","11,583","24,119","33,318","31,924","89,361","91,953"
6215,Medical & diagnostic laboratories,"Annual Payroll ($1,000)","8,247,536","72,768","307,837","415,018","674,937","1,470,560","1,771,574","1,410,523","4,652,657","3,594,879"
6215,Medical & diagnostic laboratories,"Receipts ($1,000)","25,546,332","268,498","944,587","1,215,996","1,973,859","4,402,940","4,779,795","3,960,864","13,143,599","12,402,733"
62151,Medical & diagnostic laboratories,Firms,"6,445",742,"2,382","1,108",867,"5,099",873,237,"6,209",236
62151,Medical & diagnostic laboratories,Establishments,"10,357",757,"2,395","1,124",943,"5,219","1,323",891,"7,433","2,924"
62151,Medical & diagnostic laboratories,Employment,"181,314",0,"5,203","7,333","11,583","24,119","33,318","31,924","89,361","91,953"
62151,Medical & diagnostic laboratories,"Annual Payroll ($1,000)","8,247,536","72,768","307,837","415,018","674,937","1,470,560","1,771,574","1,410,523","4,652,657","3,594,879"
62151,Medical & diagnostic laboratories,"Receipts ($1,000)","25,546,332","268,498","944,587","1,215,996","1,973,859","4,402,940","4,779,795","3,960,864","13,143,599","12,402,733"
621511,Medical laboratories,Firms,"2,596",239,895,464,354,"1,952",385,118,"2,455",141
621511,Medical laboratories,Establishments,"5,173",241,896,470,378,"1,985",550,395,"2,930","2,243"
621511,Medical laboratories,Employment,"114,316",0,"2,025","3,083","4,725","9,833","14,889","16,728","41,450","72,866"
621511,Medical laboratories,"Annual Payroll ($1,000)","4,760,157","20,251","110,136","164,166","271,107","565,660","739,343","609,394","1,914,397","2,845,760"
621511,Medical laboratories,"Receipts ($1,000)","14,859,118","71,279","309,467","405,874","698,433","1,485,053","1,812,789","1,744,849","5,042,691","9,816,427"
621512,Diagnostic imaging centers,Firms,"3,900",503,"1,487",644,513,"3,147",490,131,"3,768",132
621512,Diagnostic imaging centers,Establishments,"5,184",516,"1,499",654,565,"3,234",773,496,"4,503",681
621512,Diagnostic imaging centers,Employment,"66,998",0,"3,178","4,250","6,858","14,286","18,429","15,196","47,911","19,087"
621512,Diagnostic imaging centers,"Annual Payroll ($1,000)","3,487,379","52,517","197,701","250,852","403,830","904,900","1,032,231","801,129","2,738,260","749,119"
621512,Diagnostic imaging centers,"Receipts ($1,000)","10,687,214","197,219","635,120","810,122","1,275,426","2,917,887","2,967,006","2,216,015","8,100,908","2,586,306"
6216,Home health care services,Firms,"12,791","1,745","3,166","1,237","1,368","7,516","3,274","1,294","12,084",707
6216,Home health care services,Establishments,"18,298","1,756","3,166","1,249","1,376","7,547","3,722","2,522","13,791","4,507"
6216,Home health care services,Employment,"804,233",0,"6,406","8,339","19,284","34,029","149,958","215,856","399,843","404,390"
6216,Home health care services,"Annual Payroll ($1,000)","16,211,222","118,287","151,203","193,041","425,485","888,016","3,049,788","3,997,712","7,935,516","8,275,706"
6216,Home health care services,"Receipts ($1,000)","34,312,578","289,651","484,024","556,902","1,060,856","2,391,433","6,328,669","7,435,563","16,155,665","18,156,913"
62161,Home health care services,Firms,"12,791","1,745","3,166","1,237","1,368","7,516","3,274","1,294","12,084",707
62161,Home health care services,Establishments,"18,298","1,756","3,166","1,249","1,376","7,547","3,722","2,522","13,791","4,507"
62161,Home health care services,Employment,"804,233",0,"6,406","8,339","19,284","34,029","149,958","215,856","399,843","404,390"
62161,Home health care services,"Annual Payroll ($1,000)","16,211,222","118,287","151,203","193,041","425,485","888,016","3,049,788","3,997,712","7,935,516","8,275,706"
62161,Home health care services,"Receipts ($1,000)","34,312,578","289,651","484,024","556,902","1,060,856","2,391,433","6,328,669","7,435,563","16,155,665","18,156,913"
621610,Home health care services,Firms,"12,791","1,745","3,166","1,237","1,368","7,516","3,274","1,294","12,084",707
621610,Home health care services,Establishments,"18,298","1,756","3,166","1,249","1,376","7,547","3,722","2,522","13,791","4,507"
621610,Home health care services,Employment,"804,233",0,"6,406","8,339","19,284","34,029","149,958","215,856","399,843","404,390"
621610,Home health care services,"Annual Payroll ($1,000)","16,211,222","118,287","151,203","193,041","425,485","888,016","3,049,788","3,997,712","7,935,516","8,275,706"
621610,Home health care services,"Receipts ($1,000)","34,312,578","289,651","484,024","556,902","1,060,856","2,391,433","6,328,669","7,435,563","16,155,665","18,156,913"
6219,Other ambulatory health care services,Firms,"5,444",582,"1,731",697,763,"3,773","1,217",291,"5,281",163
6219,Other ambulatory health care services,Establishments,"8,116",591,"1,731",702,785,"3,809","1,552",992,"6,353","1,763"
6219,Other ambulatory health care services,Employment,"198,106",0,"3,656","4,708","10,587","18,951","48,597","48,402","115,950","82,156"
6219,Other ambulatory health care services,"Annual Payroll ($1,000)","5,961,028","41,343","103,482","116,588","216,897","478,310","1,116,948","1,476,549","3,071,807","2,889,221"
6219,Other ambulatory health care services,"Receipts ($1,000)","17,990,798","139,177","399,132","499,393","631,146","1,668,848","3,016,905","4,314,203","8,999,956","8,990,842"
62191,Ambulance services,Firms,"2,972",262,546,381,564,"1,753",976,169,"2,898",74
62191,Ambulance services,Establishments,"3,865",262,546,381,567,"1,756","1,163",480,"3,399",466
62191,Ambulance services,Employment,"109,064",0,"1,253","2,639","7,970","11,862","38,325","26,967","77,154","31,910"
62191,Ambulance services,"Annual Payroll ($1,000)","2,883,862","21,557","30,167","49,470","135,969","237,163","761,526","732,683","1,731,372","1,152,490"
62191,Ambulance services,"Receipts ($1,000)","6,800,309","63,059","111,911","151,141","326,580","652,691","1,775,617","1,690,305","4,118,613","2,681,696"
621910,Ambulance services,Firms,"2,972",262,546,381,564,"1,753",976,169,"2,898",74
621910,Ambulance services,Establishments,"3,865",262,546,381,567,"1,756","1,163",480,"3,399",466
621910,Ambulance services,Employment,"109,064",0,"1,253","2,639","7,970","11,862","38,325","26,967","77,154","31,910"
621910,Ambulance services,"Annual Payroll ($1,000)","2,883,862","21,557","30,167","49,470","135,969","237,163","761,526","732,683","1,731,372","1,152,490"
621910,Ambulance services,"Receipts ($1,000)","6,800,309","63,059","111,911","151,141","326,580","652,691","1,775,617","1,690,305","4,118,613","2,681,696"
62199,All other ambulatory health care services,Firms,"2,477",320,"1,185",316,199,"2,020",241,122,"2,383",94
62199,All other ambulatory health care services,Establishments,"4,251",329,"1,185",321,218,"2,053",389,512,"2,954","1,297"
62199,All other ambulatory health care services,Employment,"89,042",0,"2,403","2,069","2,617","7,089","10,272","21,435","38,796","50,246"
62199,All other ambulatory health care services,"Annual Payroll ($1,000)","3,077,166","19,786","73,315","67,118","80,928","241,147","355,422","743,866","1,340,435","1,736,731"
62199,All other ambulatory health care services,"Receipts ($1,000)","11,190,489","76,118","287,221","348,252","304,566","1,016,157","1,241,288","2,623,898","4,881,343","6,309,146"
621991,Blood & organ banks,Firms,436,27,85,50,47,209,115,74,398,38
621991,Blood & organ banks,Establishments,"1,270",36,85,50,50,221,175,407,803,467
621991,Blood & organ banks,Employment,"52,195",0,188,330,635,"1,153","5,534","15,812","22,499","29,696"
621991,Blood & organ banks,"Annual Payroll ($1,000)","1,774,549","5,907","6,461","12,786","22,006","47,160","198,458","566,570","812,188","962,361"
621991,Blood & organ banks,"Receipts ($1,000)","6,651,376","22,912","27,297","168,219","110,196","328,624","788,812","2,158,350","3,275,786","3,375,590"
621999,All other miscellaneous ambulatory health care services,Firms,"2,049",293,"1,100",266,153,"1,812",126,50,"1,988",61
621999,All other miscellaneous ambulatory health care services,Establishments,"2,981",293,"1,100",271,168,"1,832",214,105,"2,151",830
621999,All other miscellaneous ambulatory health care services,Employment,"36,847",0,"2,215","1,739","1,982","5,936","4,738","5,623","16,297","20,550"
621999,All other miscellaneous ambulatory health care services,"Annual Payroll ($1,000)","1,302,617","13,879","66,854","54,332","58,922","193,987","156,964","177,296","528,247","774,370"
621999,All other miscellaneous ambulatory health care services,"Receipts ($1,000)","4,539,113","53,206","259,924","180,033","194,370","687,533","452,476","465,548","1,605,557","2,933,556"
622,Hospitals,Firms,"4,548",210,225,110,92,637,487,"1,590","2,714","1,834"
622,Hospitals,Establishments,"7,569",210,225,116,100,651,513,"1,725","2,889","4,680"
622,Hospitals,Employment,"5,121,584",0,433,721,"1,220","2,374","30,243","389,501","422,118","4,699,466"
622,Hospitals,"Annual Payroll ($1,000)","195,097,359","126,239","23,164","38,725","77,882","266,010","854,431","12,253,169","13,373,610","181,723,749"
622,Hospitals,"Receipts ($1,000)","499,145,896","596,554","305,355","155,614","271,975","1,329,498","2,509,443","29,113,116","32,952,057","466,193,839"
6221,General medical & surgical hospitals,Firms,"3,581",90,105,52,43,290,388,"1,289","1,967","1,614"
6221,General medical & surgical hospitals,Establishments,"5,971",90,105,57,51,303,399,"1,367","2,069","3,902"
6221,General medical & surgical hospitals,Employment,"4,713,450",0,204,349,577,"1,130","25,092","311,346","337,568","4,375,882"
6221,General medical & surgical hospitals,"Annual Payroll ($1,000)","179,673,489","106,980","13,220","25,329","56,744","202,273","693,192","9,425,929","10,321,394","169,352,095"
6221,General medical & surgical hospitals,"Receipts ($1,000)","468,007,640","525,446","268,810","107,783","213,717","1,115,756","2,131,118","23,737,230","26,984,104","441,023,536"
62211,General medical & surgical hospitals,Firms,"3,581",90,105,52,43,290,388,"1,289","1,967","1,614"
62211,General medical & surgical hospitals,Establishments,"5,971",90,105,57,51,303,399,"1,367","2,069","3,902"
62211,General medical & surgical hospitals,Employment,"4,713,450",0,204,349,577,"1,130","25,092","311,346","337,568","4,375,882"
62211,General medical & surgical hospitals,"Annual Payroll ($1,000)","179,673,489","106,980","13,220","25,329","56,744","202,273","693,192","9,425,929","10,321,394","169,352,095"
62211,General medical & surgical hospitals,"Receipts ($1,000)","468,007,640","525,446","268,810","107,783","213,717","1,115,756","2,131,118","23,737,230","26,984,104","441,023,536"
622110,General medical & surgical hospitals,Firms,"3,581",90,105,52,43,290,388,"1,289","1,967","1,614"
622110,General medical & surgical hospitals,Establishments,"5,971",90,105,57,51,303,399,"1,367","2,069","3,902"
622110,General medical & surgical hospitals,Employment,"4,713,450",0,204,349,577,"1,130","25,092","311,346","337,568","4,375,882"
622110,General medical & surgical hospitals,"Annual Payroll ($1,000)","179,673,489","106,980","13,220","25,329","56,744","202,273","693,192","9,425,929","10,321,394","169,352,095"
622110,General medical & surgical hospitals,"Receipts ($1,000)","468,007,640","525,446","268,810","107,783","213,717","1,115,756","2,131,118","23,737,230","26,984,104","441,023,536"
6222,Psychiatric & substance abuse hospitals,Firms,609,32,46,17,19,114,33,219,366,243
6222,Psychiatric & substance abuse hospitals,Establishments,797,32,46,17,19,114,40,250,404,393
6222,Psychiatric & substance abuse hospitals,Employment,"235,942",0,81,114,254,449,"1,815","58,257","60,521","175,421"
6222,Psychiatric & substance abuse hospitals,"Annual Payroll ($1,000)","8,787,338","6,557","3,233","3,260","8,502","21,552","57,488","2,176,144","2,255,184","6,532,154"
6222,Psychiatric & substance abuse hospitals,"Receipts ($1,000)","15,576,265","25,368","14,347","10,984","18,664","69,363","116,463","3,872,251","4,058,077","11,518,188"
62221,Psychiatric & substance abuse hospitals,Firms,609,32,46,17,19,114,33,219,366,243
62221,Psychiatric & substance abuse hospitals,Establishments,797,32,46,17,19,114,40,250,404,393
62221,Psychiatric & substance abuse hospitals,Employment,"235,942",0,81,114,254,449,"1,815","58,257","60,521","175,421"
62221,Psychiatric & substance abuse hospitals,"Annual Payroll ($1,000)","8,787,338","6,557","3,233","3,260","8,502","21,552","57,488","2,176,144","2,255,184","6,532,154"
62221,Psychiatric & substance abuse hospitals,"Receipts ($1,000)","15,576,265","25,368","14,347","10,984","18,664","69,363","116,463","3,872,251","4,058,077","11,518,188"
622210,Psychiatric & substance abuse hospitals,Firms,609,32,46,17,19,114,33,219,366,243
622210,Psychiatric & substance abuse hospitals,Establishments,797,32,46,17,19,114,40,250,404,393
622210,Psychiatric & substance abuse hospitals,Employment,"235,942",0,81,114,254,449,"1,815","58,257","60,521","175,421"
622210,Psychiatric & substance abuse hospitals,"Annual Payroll ($1,000)","8,787,338","6,557","3,233","3,260","8,502","21,552","57,488","2,176,144","2,255,184","6,532,154"
622210,Psychiatric & substance abuse hospitals,"Receipts ($1,000)","15,576,265","25,368","14,347","10,984","18,664","69,363","116,463","3,872,251","4,058,077","11,518,188"
6223,Specialty (except psychiatric & substance abuse) hospitals,Firms,548,88,74,42,30,234,69,88,391,157
6223,Specialty (except psychiatric & substance abuse) hospitals,Establishments,801,88,74,42,30,234,74,108,416,385
6223,Specialty (except psychiatric & substance abuse) hospitals,Employment,"172,192",0,148,258,389,795,"3,336","19,898","24,029","148,163"
6223,Specialty (except psychiatric & substance abuse) hospitals,"Annual Payroll ($1,000)","6,636,532","12,702","6,711","10,136","12,636","42,185","103,751","651,096","797,032","5,839,500"
6223,Specialty (except psychiatric & substance abuse) hospitals,"Receipts ($1,000)","15,561,991","45,740","22,198","36,847","39,594","144,379","261,862","1,503,635","1,909,876","13,652,115"
62231,Specialty (except psychiatric & substance abuse) hospitals,Firms,548,88,74,42,30,234,69,88,391,157
62231,Specialty (except psychiatric & substance abuse) hospitals,Establishments,801,88,74,42,30,234,74,108,416,385
62231,Specialty (except psychiatric & substance abuse) hospitals,Employment,"172,192",0,148,258,389,795,"3,336","19,898","24,029","148,163"
62231,Specialty (except psychiatric & substance abuse) hospitals,"Annual Payroll ($1,000)","6,636,532","12,702","6,711","10,136","12,636","42,185","103,751","651,096","797,032","5,839,500"
62231,Specialty (except psychiatric & substance abuse) hospitals,"Receipts ($1,000)","15,561,991","45,740","22,198","36,847","39,594","144,379","261,862","1,503,635","1,909,876","13,652,115"
622310,Specialty (except psychiatric & substance abuse) hospitals,Firms,548,88,74,42,30,234,69,88,391,157
622310,Specialty (except psychiatric & substance abuse) hospitals,Establishments,801,88,74,42,30,234,74,108,416,385
622310,Specialty (except psychiatric & substance abuse) hospitals,Employment,"172,192",0,148,258,389,795,"3,336","19,898","24,029","148,163"
622310,Specialty (except psychiatric & substance abuse) hospitals,"Annual Payroll ($1,000)","6,636,532","12,702","6,711","10,136","12,636","42,185","103,751","651,096","797,032","5,839,500"
622310,Specialty (except psychiatric & substance abuse) hospitals,"Receipts ($1,000)","15,561,991","45,740","22,198","36,847","39,594","144,379","261,862","1,503,635","1,909,876","13,652,115"
623,Nursing & residential care facilities,Firms,"32,720","2,544","7,284","3,612","3,736","17,176","8,486","5,836","31,498","1,222"
623,Nursing & residential care facilities,Establishments,"67,900","2,559","7,291","3,652","3,881","17,383","11,701","18,516","47,600","20,300"
623,Nursing & residential care facilities,Employment,"2,770,665",0,"16,252","24,355","51,667","92,274","409,004","965,200","1,466,478","1,304,187"
623,Nursing & residential care facilities,"Annual Payroll ($1,000)","58,950,491","496,660","273,131","380,879","828,097","1,978,767","7,546,379","20,780,344","30,305,490","28,645,001"
623,Nursing & residential care facilities,"Receipts ($1,000)","126,267,746","1,285,744","959,069","1,013,434","2,039,183","5,297,430","16,237,528","42,802,419","64,337,377","61,930,369"
6231,Nursing care facilities,Firms,"8,672",661,717,288,347,"2,013","2,769","3,138","7,920",752
6231,Nursing care facilities,Establishments,"16,779",668,717,294,359,"2,038","2,890","3,928","8,856","7,923"
6231,Nursing care facilities,Employment,"1,604,222",0,"1,554","1,958","4,816","8,328","172,553","538,795","719,676","884,546"
6231,Nursing care facilities,"Annual Payroll ($1,000)","35,808,394","316,941","42,538","40,823","92,814","493,116","3,319,411","11,958,631","15,771,158","20,037,236"
6231,Nursing care facilities,"Receipts ($1,000)","74,576,571","784,549","98,870","87,724","268,883","1,240,026","6,761,935","24,261,876","32,263,837","42,312,734"
62311,Nursing care facilities,Firms,"8,672",661,717,288,347,"2,013","2,769","3,138","7,920",752
62311,Nursing care facilities,Establishments,"16,779",668,717,294,359,"2,038","2,890","3,928","8,856","7,923"
62311,Nursing care facilities,Employment,"1,604,222",0,"1,554","1,958","4,816","8,328","172,553","538,795","719,676","884,546"
62311,Nursing care facilities,"Annual Payroll ($1,000)","35,808,394","316,941","42,538","40,823","92,814","493,116","3,319,411","11,958,631","15,771,158","20,037,236"
62311,Nursing care facilities,"Receipts ($1,000)","74,576,571","784,549","98,870","87,724","268,883","1,240,026","6,761,935","24,261,876","32,263,837","42,312,734"
623110,Nursing care facilities,Firms,"8,672",661,717,288,347,"2,013","2,769","3,138","7,920",752
623110,Nursing care facilities,Establishments,"16,779",668,717,294,359,"2,038","2,890","3,928","8,856","7,923"
623110,Nursing care facilities,Employment,"1,604,222",0,"1,554","1,958","4,816","8,328","172,553","538,795","719,676","884,546"
623110,Nursing care facilities,"Annual Payroll ($1,000)","35,808,394","316,941","42,538","40,823","92,814","493,116","3,319,411","11,958,631","15,771,158","20,037,236"
623110,Nursing care facilities,"Receipts ($1,000)","74,576,571","784,549","98,870","87,724","268,883","1,240,026","6,761,935","24,261,876","32,263,837","42,312,734"
6232,Residential mental retardation/health & substance abuse facility,Firms,"7,818",394,"1,733",903,"1,000","4,030","1,903","1,471","7,404",414
6232,Residential mental retardation/health & substance abuse facility,Establishments,"25,737",398,"1,733",917,"1,063","4,111","4,006","10,277","18,394","7,343"
6232,Residential mental retardation/health & substance abuse facility,Employment,"440,888",0,"3,972","6,114","13,733","23,819","77,521","180,361","281,701","159,187"
6232,Residential mental retardation/health & substance abuse facility,"Annual Payroll ($1,000)","8,932,649","29,807","62,994","104,412","234,856","432,069","1,511,416","3,608,916","5,552,401","3,380,248"
6232,Residential mental retardation/health & substance abuse facility,"Receipts ($1,000)","17,915,586","85,946","214,777","267,263","543,433","1,111,419","3,079,899","6,976,136","11,167,454","6,748,132"
62321,Residential mental retardation facilities,Firms,"4,862",277,"1,088",539,567,"2,471","1,111",986,"4,568",294
62321,Residential mental retardation facilities,Establishments,"19,369",277,"1,088",544,609,"2,518","2,686","8,167","13,371","5,998"
62321,Residential mental retardation facilities,Employment,"317,056",0,"2,457","3,661","7,771","13,889","48,041","131,402","193,332","123,724"
62321,Residential mental retardation facilities,"Annual Payroll ($1,000)","6,179,164","21,516","36,761","61,506","125,066","244,849","859,498","2,495,570","3,599,917","2,579,247"
62321,Residential mental retardation facilities,"Receipts ($1,000)","11,998,659","61,406","122,017","151,703","282,897","618,023","1,671,595","4,742,190","7,031,808","4,966,851"
623210,Residential mental retardation facilities,Firms,"4,862",277,"1,088",539,567,"2,471","1,111",986,"4,568",294
623210,Residential mental retardation facilities,Establishments,"19,369",277,"1,088",544,609,"2,518","2,686","8,167","13,371","5,998"
623210,Residential mental retardation facilities,Employment,"317,056",0,"2,457","3,661","7,771","13,889","48,041","131,402","193,332","123,724"
623210,Residential mental retardation facilities,"Annual Payroll ($1,000)","6,179,164","21,516","36,761","61,506","125,066","244,849","859,498","2,495,570","3,599,917","2,579,247"
623210,Residential mental retardation facilities,"Receipts ($1,000)","11,998,659","61,406","122,017","151,703","282,897","618,023","1,671,595","4,742,190","7,031,808","4,966,851"
62322,Residential mental health & substance abuse facilities,Firms,"3,231",117,645,364,433,"1,559",812,648,"3,019",212
62322,Residential mental health & substance abuse facilities,Establishments,"6,368",121,645,373,454,"1,593","1,320","2,110","5,023","1,345"
62322,Residential mental health & substance abuse facilities,Employment,"123,832",0,"1,515","2,453","5,962","9,930","29,480","48,959","88,369","35,463"
62322,Residential mental health & substance abuse facilities,"Annual Payroll ($1,000)","2,753,485","8,291","26,233","42,906","109,790","187,220","651,918","1,113,346","1,952,484","801,001"
62322,Residential mental health & substance abuse facilities,"Receipts ($1,000)","5,916,927","24,540","92,760","115,560","260,536","493,396","1,408,304","2,233,946","4,135,646","1,781,281"
623220,Residential mental health & substance abuse facilities,Firms,"3,231",117,645,364,433,"1,559",812,648,"3,019",212
623220,Residential mental health & substance abuse facilities,Establishments,"6,368",121,645,373,454,"1,593","1,320","2,110","5,023","1,345"
623220,Residential mental health & substance abuse facilities,Employment,"123,832",0,"1,515","2,453","5,962","9,930","29,480","48,959","88,369","35,463"
623220,Residential mental health & substance abuse facilities,"Annual Payroll ($1,000)","2,753,485","8,291","26,233","42,906","109,790","187,220","651,918","1,113,346","1,952,484","801,001"
623220,Residential mental health & substance abuse facilities,"Receipts ($1,000)","5,916,927","24,540","92,760","115,560","260,536","493,396","1,408,304","2,233,946","4,135,646","1,781,281"
6233,Community care facilities for the elderly,Firms,"13,995","1,279","4,150","2,007","1,871","9,307","2,995","1,218","13,520",475
6233,Community care facilities for the elderly,Establishments,"18,764","1,283","4,156","2,022","1,912","9,373","3,320","2,288","14,981","3,783"
6233,Community care facilities for the elderly,Employment,"565,955",0,"9,245","13,416","25,759","48,420","122,562","179,137","350,119","215,836"
6233,Community care facilities for the elderly,"Annual Payroll ($1,000)","10,502,720","138,910","139,422","184,493","355,882","818,707","1,947,264","3,592,643","6,358,614","4,144,106"
6233,Community care facilities for the elderly,"Receipts ($1,000)","26,130,513","386,989","555,473","539,024","913,327","2,394,813","4,806,492","8,236,546","15,437,851","10,692,662"
62331,Community care facilities for the elderly,Firms,"13,995","1,279","4,150","2,007","1,871","9,307","2,995","1,218","13,520",475
62331,Community care facilities for the elderly,Establishments,"18,764","1,283","4,156","2,022","1,912","9,373","3,320","2,288","14,981","3,783"
62331,Community care facilities for the elderly,Employment,"565,955",0,"9,245","13,416","25,759","48,420","122,562","179,137","350,119","215,836"
62331,Community care facilities for the elderly,"Annual Payroll ($1,000)","10,502,720","138,910","139,422","184,493","355,882","818,707","1,947,264","3,592,643","6,358,614","4,144,106"
62331,Community care facilities for the elderly,"Receipts ($1,000)","26,130,513","386,989","555,473","539,024","913,327","2,394,813","4,806,492","8,236,546","15,437,851","10,692,662"
623311,Continuing care retirement communities,Firms,"2,792",215,315,202,269,"1,001",742,755,"2,498",294
623311,Continuing care retirement communities,Establishments,"4,163",217,317,203,277,"1,014",789,969,"2,772","1,391"
623311,Continuing care retirement communities,Employment,"299,914",0,730,"1,352","3,794","5,876","36,965","133,377","176,218","123,696"
623311,Continuing care retirement communities,"Annual Payroll ($1,000)","6,077,470","82,218","18,108","21,886","57,148","179,360","635,832","2,751,738","3,566,930","2,510,540"
623311,Continuing care retirement communities,"Receipts ($1,000)","14,433,717","203,305","54,177","57,337","134,052","448,871","1,461,986","6,266,453","8,177,310","6,256,407"
